spkid,GM,diameter,extent,class
2000931,,45.298,,MBA
2000932,,58.978,,MBA
2000933,,21.82,,MBA
2000934,,53.714,,MBA
2000935,,6.411,,MBA
2000936,,43.227,,MBA
2000937,,11.383,,MBA
2000938,,33.466,,MBA
2000939,,10.39,,MBA
2000940,,79.852,,OMB
2000941,,18.217,,MBA
2000942,,36.772,,MBA
2000943,,70.572,,MBA
2000945,,25.618,,MBA
2000946,,36.21,,MBA
2000947,,26.06,,MBA
2000948,,17.331,,MBA
2000949,,63.494,,MBA
2000950,,13.704,,MBA
2000951,,12.2,18.2x10.5x8.9,MBA
2000952,,88.692,,MBA
2000953,,24.062,,MBA
2000954,,58.771,,MBA
2000955,,17.33,,MBA
2000956,,10.474,,MBA
2000957,,91.548,,MBA
2000958,,45.112,,OMB
2000959,,45.176,,MBA
2000960,,7.506,,MBA
2000961,,36.571,,MBA
2000963,,9.008,,MBA
2000964,,19.835,,MBA
2000965,,60.857,,MBA
2000966,,25.509,,MBA
2000967,,10.216,,MBA
2000968,,24.422,,MBA
2000969,,17.321,,MBA
2000970,,9.204,,MBA
2000971,,60.867,,MBA
2000972,,77.827,,MBA
2000973,,51.609,,OMB
2000974,,25.001,,MBA
2000975,,22.169,,MBA
2000976,,83.195,,OMB
2000977,,65.471,,MBA
2000978,,92.105,,OMB
2000979,,35.741,,MBA
2000980,,74.679,,MBA
2000981,,32.545,,MBA
2000982,,33.227,,MBA
2000983,,73.87,,MBA
2000984,,32.449,,MBA
2000986,,48.677,,MBA
2000987,,52.651,,MBA
2000988,,20.431,,MBA
2000989,,12.63,,MBA
2000990,,21.428,,MBA
2000991,,38.556,,MBA
2000992,,27.585,,MBA
2000993,,12.433,,MBA
2000994,,20.786,,MBA
2000995,,20.222,,MBA
2000996,,29.128,,MBA
2000997,,20.391,,MBA
2000998,,31.761,,MBA
2000999,,16.848,,MBA
2001000,,47.78,,MBA
2001001,,72.711,,OMB
2001002,,22.938,,MBA
2001003,,33.678,,MBA
